rest_id,day,month,weekday,weekend,is_holiday,is_dec,is_nov,competitors_price,discounts,sales
0,2016-01-01,1,4,False,True,False,False,2.88,0,79.0
0,2016-01-02,1,5,True,False,False,False,2.64,0,57.0
0,2016-01-03,1,6,True,False,False,False,2.08,5,294.0
0,2016-01-04,1,0,False,False,False,False,3.37,15,676.5
0,2016-01-05,1,1,False,False,False,False,3.79,0,66.0
0,2016-01-06,1,2,False,False,False,False,4.57,0,69.0
0,2016-01-07,1,3,False,False,False,False,2.57,20,1116.0
0,2016-01-08,1,4,False,False,False,False,5.87,15,672.5
0,2016-01-09,1,5,True,False,False,False,6.0,5,223.0
0,2016-01-10,1,6,True,False,False,False,4.89,25,771.0
0,2016-01-11,1,0,False,False,False,False,3.0,10,525.0
0,2016-01-12,1,1,False,False,False,False,3.26,35,1444.5
0,2016-01-13,1,2,False,False,False,False,5.69,15,528.5
0,2016-01-14,1,3,False,False,False,False,3.51,15,765.0
0,2016-01-15,1,4,False,False,False,False,6.07,15,589.0
0,2016-01-16,1,5,True,False,False,False,3.68,5,304.5
0,2016-01-17,1,6,True,False,False,False,2.85,25,1260.0
0,2016-01-18,1,0,False,True,False,False,4.96,5,233.5
0,2016-01-19,1,1,False,False,False,False,2.77,10,441.0
0,2016-01-20,1,2,False,False,False,False,5.82,5,193.0
0,2016-01-21,1,3,False,False,False,False,3.64,5,270.0
0,2016-01-22,1,4,False,False,False,False,5.57,15,548.0
0,2016-01-23,1,5,True,False,False,False,4.38,5,242.5
0,2016-01-24,1,6,True,False,False,False,5.63,0,64.0
0,2016-01-25,1,0,False,False,False,False,5.95,5,171.0
0,2016-01-26,1,1,False,False,False,False,3.08,5,292.0
0,2016-01-27,1,2,False,False,False,False,4.54,0,50.0
0,2016-01-28,1,3,False,False,False,False,4.6,15,596.0
0,2016-01-29,1,4,False,False,False,False,3.7,15,739.0
0,2016-01-30,1,5,True,False,False,False,2.87,0,70.0
0,2016-01-31,1,6,True,False,False,False,5.44,5,249.5
