,rest_id,day,month,weeday,weekend,is_holiday,is_dec,is_nov,competitors_price,discounts,sales
0,0,2016-01-01,1,4,False,True,False,False,2.88,0,79.0
1,0,2016-01-02,1,5,True,False,False,False,2.64,0,57.0
2,0,2016-01-03,1,6,True,False,False,False,2.08,5,294.0
3,0,2016-01-04,1,0,False,False,False,False,3.37,15,676.5
4,0,2016-01-05,1,1,False,False,False,False,3.79,0,66.0
5,0,2016-01-06,1,2,False,False,False,False,4.57,0,69.0
6,0,2016-01-07,1,3,False,False,False,False,2.57,20,1116.0
7,0,2016-01-08,1,4,False,False,False,False,5.87,15,672.5
8,0,2016-01-09,1,5,True,False,False,False,6.0,5,223.0
9,0,2016-01-10,1,6,True,False,False,False,4.89,25,771.0
10,0,2016-01-11,1,0,False,False,False,False,3.0,10,525.0
11,0,2016-01-12,1,1,False,False,False,False,3.26,35,1444.5
12,0,2016-01-13,1,2,False,False,False,False,5.69,15,528.5
13,0,2016-01-14,1,3,False,False,False,False,3.51,15,765.0
14,0,2016-01-15,1,4,False,False,False,False,6.07,15,589.0
15,0,2016-01-16,1,5,True,False,False,False,3.68,5,304.5
16,0,2016-01-17,1,6,True,False,False,False,2.85,25,1260.0
17,0,2016-01-18,1,0,False,True,False,False,4.96,5,233.5
18,0,2016-01-19,1,1,False,False,False,False,2.77,10,441.0
19,0,2016-01-20,1,2,False,False,False,False,5.82,5,193.0
20,0,2016-01-21,1,3,False,False,False,False,3.64,5,270.0
21,0,2016-01-22,1,4,False,False,False,False,5.57,15,548.0
22,0,2016-01-23,1,5,True,False,False,False,4.38,5,242.5
23,0,2016-01-24,1,6,True,False,False,False,5.63,0,64.0
24,0,2016-01-25,1,0,False,False,False,False,5.95,5,171.0
25,0,2016-01-26,1,1,False,False,False,False,3.08,5,292.0
26,0,2016-01-27,1,2,False,False,False,False,4.54,0,50.0
27,0,2016-01-28,1,3,False,False,False,False,4.6,15,596.0
28,0,2016-01-29,1,4,False,False,False,False,3.7,15,739.0
29,0,2016-01-30,1,5,True,False,False,False,2.87,0,70.0
30,0,2016-01-31,1,6,True,False,False,False,5.44,5,249.5
31,0,2016-02-01,2,0,False,False,False,False,3.8,0,53.0
32,0,2016-02-02,2,1,False,False,False,False,2.68,25,1113.0
33,0,2016-02-03,2,2,False,False,False,False,3.24,20,695.0
34,0,2016-02-04,2,3,False,False,False,False,5.13,30,779.0
35,0,2016-02-05,2,4,False,False,False,False,2.61,20,997.0
36,0,2016-02-06,2,5,True,False,False,False,3.36,10,359.0
37,0,2016-02-07,2,6,True,False,False,False,2.96,10,371.0
38,0,2016-02-08,2,0,False,False,False,False,3.94,15,508.5
