app_download,population,city,state,date,post,treated
3066.0,12396372,sao_paulo,sao_paulo,2022-03-01,0,1
2701.0,12396372,sao_paulo,sao_paulo,2022-03-02,0,1
1927.0,12396372,sao_paulo,sao_paulo,2022-03-03,0,1
1451.0,12396372,sao_paulo,sao_paulo,2022-03-04,0,1
1248.0,12396372,sao_paulo,sao_paulo,2022-03-05,0,1
1338.0,12396372,sao_paulo,sao_paulo,2022-03-06,0,1
2685.0,12396372,sao_paulo,sao_paulo,2022-03-07,0,1
2280.0,12396372,sao_paulo,sao_paulo,2022-03-08,0,1
1609.0,12396372,sao_paulo,sao_paulo,2022-03-09,0,1
1053.0,12396372,sao_paulo,sao_paulo,2022-03-10,0,1
1414.0,12396372,sao_paulo,sao_paulo,2022-03-11,0,1
820.0,12396372,sao_paulo,sao_paulo,2022-03-12,0,1
1402.0,12396372,sao_paulo,sao_paulo,2022-03-13,0,1
3103.0,12396372,sao_paulo,sao_paulo,2022-03-14,0,1
3103.0,12396372,sao_paulo,sao_paulo,2022-03-15,0,1
2486.0,12396372,sao_paulo,sao_paulo,2022-03-16,0,1
1979.0,12396372,sao_paulo,sao_paulo,2022-03-17,0,1
2038.0,12396372,sao_paulo,sao_paulo,2022-03-18,0,1
1746.0,12396372,sao_paulo,sao_paulo,2022-03-19,0,1
2460.0,12396372,sao_paulo,sao_paulo,2022-03-20,0,1
3987.0,12396372,sao_paulo,sao_paulo,2022-03-21,0,1
3624.0,12396372,sao_paulo,sao_paulo,2022-03-22,0,1
3803.0,12396372,sao_paulo,sao_paulo,2022-03-23,0,1
3028.0,12396372,sao_paulo,sao_paulo,2022-03-24,0,1
2844.0,12396372,sao_paulo,sao_paulo,2022-03-25,0,1
2712.0,12396372,sao_paulo,sao_paulo,2022-03-26,0,1
3383.0,12396372,sao_paulo,sao_paulo,2022-03-27,0,1
5084.0,12396372,sao_paulo,sao_paulo,2022-03-28,0,1
4527.0,12396372,sao_paulo,sao_paulo,2022-03-29,0,1
4682.0,12396372,sao_paulo,sao_paulo,2022-03-30,0,1
4043.0,12396372,sao_paulo,sao_paulo,2022-03-31,0,1
1800.0,12396372,sao_paulo,sao_paulo,2022-04-01,0,1
1540.0,12396372,sao_paulo,sao_paulo,2022-04-02,0,1
1501.0,12396372,sao_paulo,sao_paulo,2022-04-03,0,1
3259.0,12396372,sao_paulo,sao_paulo,2022-04-04,0,1
3163.0,12396372,sao_paulo,sao_paulo,2022-04-05,0,1
2519.0,12396372,sao_paulo,sao_paulo,2022-04-06,0,1
1888.0,12396372,sao_paulo,sao_paulo,2022-04-07,0,1
1244.0,12396372,sao_paulo,sao_paulo,2022-04-08,0,1
940.0,12396372,sao_paulo,sao_paulo,2022-04-09,0,1
