app_download,population,city,state,date,post,treated,app_download_pct,comp_download_pct
3066.0,12396372,sao_paulo,sao_paulo,2022-03-01,0,1,0.02473304286125005,0.026280269743437838
2701.0,12396372,sao_paulo,sao_paulo,2022-03-02,0,1,0.02178863299681552,0.023924741851890214
1927.0,12396372,sao_paulo,sao_paulo,2022-03-03,0,1,0.015544870708946133,0.018929732021594706
1451.0,12396372,sao_paulo,sao_paulo,2022-03-04,0,1,0.01170503757066987,0.015857865510973696
1248.0,12396372,sao_paulo,sao_paulo,2022-03-05,0,1,0.010067461673463817,0.014547804793208852
1338.0,12396372,sao_paulo,sao_paulo,2022-03-06,0,1,0.010793480544146304,0.01512861988975484
2685.0,12396372,sao_paulo,sao_paulo,2022-03-07,0,1,0.021659562975360855,0.023821485834726482
2280.0,12396372,sao_paulo,sao_paulo,2022-03-08,0,1,0.018392478057289666,0.02120781790026953
1609.0,12396372,sao_paulo,sao_paulo,2022-03-09,0,1,0.01297960403253468,0.01687751868046554
1053.0,12396372,sao_paulo,sao_paulo,2022-03-10,0,1,0.008494420786985096,0.013289372084025875
1414.0,12396372,sao_paulo,sao_paulo,2022-03-11,0,1,0.011406563146055959,0.015619085971282566
820.0,12396372,sao_paulo,sao_paulo,2022-03-12,0,1,0.006614838599551546,0.011785706334079035
1402.0,12396372,sao_paulo,sao_paulo,2022-03-13,0,1,0.01130976062996496,0.015541643958409767
3103.0,12396372,sao_paulo,sao_paulo,2022-03-14,0,1,0.02503151728586396,0.026519049283128968
3103.0,12396372,sao_paulo,sao_paulo,2022-03-15,0,1,0.02503151728586396,0.026519049283128968
2486.0,12396372,sao_paulo,sao_paulo,2022-03-16,0,1,0.020054254583518467,0.022537239121252575
1979.0,12396372,sao_paulo,sao_paulo,2022-03-17,0,1,0.015964348278673792,0.01926531407737683
2038.0,12396372,sao_paulo,sao_paulo,2022-03-18,0,1,0.016440293982787867,0.019646070640668093
1746.0,12396372,sao_paulo,sao_paulo,2022-03-19,0,1,0.014084766091240243,0.017761648327429994
2460.0,12396372,sao_paulo,sao_paulo,2022-03-20,0,1,0.01984451579865464,0.02236944809336151
3987.0,12396372,sao_paulo,sao_paulo,2022-03-21,0,1,0.032162635971234164,0.03222394423142513
3624.0,12396372,sao_paulo,sao_paulo,2022-03-22,0,1,0.029234359859481467,0.029881323342022974
3803.0,12396372,sao_paulo,sao_paulo,2022-03-23,0,1,0.030678330724505525,0.03103650003404222
3028.0,12396372,sao_paulo,sao_paulo,2022-03-24,0,1,0.024426501560295223,0.026035036702673976
