ml_1,ml_2,interest,duration
0.3929383711957233,0.32628477061242966,7.1,12.0
-0.42772133009924107,0.6795728093892301,5.6,17.0
-0.5462970928715938,0.6473087684659038,11.1,12.0
0.10262953816578246,-0.2647762814137713,7.2,18.0
0.43893793957112615,-0.6488179587304552,9.5,19.0
-0.15378707975107808,-0.7746790811091191,8.3,24.0
0.961528396769231,0.3552179652524463,2.5,12.0
0.3696594771697266,0.9110515382429831,6.2,8.0
-0.03813619703127813,0.9281050030409379,6.3,11.0
-0.21576496361169895,-0.2940794427593756,6.3,24.0
-0.3136439676982612,-0.26682050957930414,8.8,21.0
0.45809941476808325,0.09194860754994494,6.7,14.0
-0.12285551064075118,-0.005704197157370139,9.6,18.0
-0.8806442067808633,-0.6309730780322265,7.5,27.0
-0.20391148933913716,0.8167496554830436,5.1,14.0
0.4759908114640714,-0.9075755540281223,6.3,22.0
-0.635016539093,-0.7015859979907635,7.5,29.0
-0.6490964877050149,-0.8160924735361128,8.8,30.0
0.06310274768367674,-0.74792760897251,9.8,20.0
0.06365517419373212,-0.050673227988827785,8.9,17.0
0.2688019171026421,-0.780371093774999,13.8,14.0
0.6988635881555791,-0.7125685234407702,9.1,17.0
0.4489106497212705,-0.38607687880699904,10.4,14.0
0.22204702135516574,0.0878045694830405,8.6,14.0
0.4448867651404431,0.4699843969995281,5.0,12.0
-0.3540821722936436,0.5530485828794407,7.7,17.0
-0.2764226887553718,-0.2079618082685637,7.4,20.0
-0.5434735382420888,-0.8674411188276221,7.7,30.0
-0.41257190722234127,-0.46843981624870645,9.1,22.0
0.2619522477089755,-0.750543492070769,9.0,18.0
-0.8157901201098496,0.5123934883384531,8.9,18.0
-0.13259765464094353,0.6561144515716015,8.6,13.0
-0.1382744733407124,0.8016140927015103,7.3,14.0
-0.01262980469938757,0.748787121094109,7.9,12.0
-0.14833941940834405,-0.40748761862651595,9.2,20.0
-0.37547755405506944,-0.0017596798341679154,8.0,19.0
-0.14729738607438358,0.09817019775368685,7.8,17.0
0.7867783262342696,0.4486497976643711,6.1,7.0
0.8883200364077593,0.5392954616612688,7.5,6.0
0.0036733517686731165,-0.12366796733534913,9.8,17.0
0.24790590358422238,-0.4315451839969968,5.9,20.0
-0.7687632098414086,-0.453451914622528,9.7,26.0
-0.3654290363593582,0.09904909123735517,3.5,22.0
-0.17034757609273643,0.5007087360580371,8.3,13.0
0.7326183157667319,0.9522349602230353,8.1,2.0
-0.4990892692069866,0.1474235249022282,8.3,20.0
-0.0339314714745913,-0.5875033547976745,11.0,18.0
0.97111957122141,0.643048720685589,6.4,4.0
0.03897023851961867,0.27094938638477895,3.5,17.0
0.2257890515259353,-0.3055405115333485,5.6,19.0
-0.7587426680193525,0.7910256731225387,7.1,16.0
0.6526816010136665,0.24109680272741763,10.1,8.0
0.20612025682185475,0.27419491576627064,5.2,14.0
0.09013601293292983,-0.7368897292564736,6.1,23.0
-0.3144723324513832,0.5701318826060044,11.9,12.0
-0.3917584219456318,0.8498927037052395,7.2,14.0
-0.1659555779505968,0.8899418553145109,7.2,12.0
0.3626015315855933,-0.9951917428729518,9.9,19.0
0.7509136835903498,-0.12768323871237852,6.4,15.0
0.02084467495602227,-0.3069742005531384,8.9,17.0
0.33862756592454457,-0.49019633953653496,6.2,19.0
0.17187310512442577,-0.8610263000771137,9.9,20.0
0.24980700419119972,-0.2867435883012992,8.4,17.0
0.34937810197564967,0.26038237581880175,6.1,13.0
0.6846848752405146,0.8934344059654418,7.2,4.0
-0.8336100233351225,-0.40225576423191023,10.7,24.0
0.5273656828866764,-0.3026492664450422,10.5,13.0
-0.512667250926252,0.17394400672130161,12.3,16.0
-0.6115540788424583,0.6075259634185639,6.6,20.0
0.14491391498294615,0.6283860733279936,6.1,12.0
-0.8085749667752258,0.0934961408003887,6.6,25.0
0.7706536525502792,-0.19801930711700977,5.3,14.0
0.25449794410253745,-0.142523467184402,7.3,17.0
0.4468327163799095,0.44499046910926876,7.8,11.0
-0.9677415866099663,0.9386682554808194,6.7,19.0
0.188863758890085,0.882096439763443,10.8,5.0
0.1135703847885774,0.05461654074367006,9.5,14.0
-0.6820807117105545,0.4779721548156377,5.7,20.0
-0.6938589697504538,-0.04805269924555966,7.3,25.0
0.3910590575418218,-0.32614780656893627,5.7,17.0
-0.3624671472362473,0.38665297222593575,7.9,16.0
0.3839405910636393,0.7853734995884016,7.3,7.0
0.10876649943554417,-0.06961285281351426,12.7,13.0
-0.2220988517537108,0.7031784609257963,7.2,12.0
0.8502649792279722,0.1777919262519987,4.9,11.0
0.6833399938254325,-0.25430703448349723,6.9,14.0
-0.2852048666336475,-0.7106450844027787,8.6,24.0
-0.9128170724019189,-0.8618385799062618,10.8,27.0
-0.3904638531778051,0.9500050393008603,10.2,11.0
-0.20362863616403803,-0.8423400892614463,10.0,23.0
0.4099176609027244,0.980899378669642,5.9,6.0
